ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
1,0,Algeria,0,5.23026,35.8142,92615.67,1/1/85,1/5/85,News,26,3000,Heavy rain,1
2,0,Brazil,0,-45.3489,-18.7111,678498.82,1/15/85,2/2/85,News,229,80000,Heavy rain,2
3,0,Phillipines,0,122.974,10.0207,12846.03,1/20/85,1/21/85,News,43,444,Torrential rain,1
4,0,Indonesia,0,124.606,1.01489,16542.12,2/4/85,2/18/85,News,21,300,Torrential rain,1
5,0,Mozambique,0,32.3491,-25.8693,20082.21,2/9/85,2/11/85,News,19,0,Heavy rain,2
6,0,Comoros islands,0,43.36,-11.6516,1035.61,2/16/85,2/28/85,News,2,35000,Tropical cyclone,1
7,0,New Zealand,0,175.734,-37.2305,7871.37,2/17/85,2/18/85,News,4,200,Heavy rain,1
8,0,Indonesia,0,108.14,-7.04008,77091.11,2/19/85,2/23/85,News,10,2000,Heavy rain,1
9,0,USA,0,-85.1742,40.6691,210527.96,2/22/85,3/1/85,News,7,2250,Rain and snowmelt,2
10,0,Bolivia,0,-63.2887,-21.2244,69706.89,2/25/85,2/28/85,News,2,1000,Heavy Rain,1
11,0,USA,0,-89.5537,40.6814,26266.14,3/3/85,3/8/85,News,4,2400,Rain and snowmelt,2
12,0,USA,0,-108.093,35.3824,26527.13,3/13/85,3/14/85,News,0,80,Rain and snowmelt,1
13,0,USA,0,-96.7845,29.6044,141508,3/14/85,3/15/85,News,0,0,Heavy rain,1
14,0,USA,0,-83.5377,42.0122,16883.54,3/30/85,3/31/85,News,0,300,Heavy rain,1
15,0,Brazil,0,-48.0987,-4.13519,1970402.21,4/2/85,4/17/85,News,32,700000,Heavy rain,2
16,0,USA,0,-96.8425,28.5802,17192.76,4/11/85,4/12/85,News,1,200,Heavy rain,1
17,0,China,0,127.897,48.0917,300325.08,4/21/85,4/29/85,News,0,200,Ice jam/break-up,1
18,0,USA,0,-87.8805,46.4938,5123.72,4/24/85,4/25/85,News,0,400,Rain and snowmelt,2
19,0,USA,0,-105.275,34.8628,116344.02,5/11/85,5/12/85,News,2,0,Heavy rain,1
20,0,USA,0,-66.706,18.2291,1423.92,5/19/85,5/20/85,News,2,4500,Heavy rain,1
21,0,China,0,109.57,25.6694,458666.21,5/26/85,6/6/85,News,64,10000,Heavy rain,2
22,0,Argentina,0,-58.9735,-35.4392,78653.41,5/30/85,6/1/85,News,25,100000,Heavy rain,2
23,0,Bangladesh,0,91.8542,24.6497,8910.3,6/3/85,6/22/85,News,7,100000,Heavy rain,2
24,0,USA,0,-99.4494,33.6977,83470.44,6/5/85,6/6/85,News,6,100,Heavy rain,1
25,0,USA,0,-96.1011,36.3581,9865.44,6/10/85,6/11/85,News,0,320,Heavy rain,2
26,0,Philippines,0,120.916,14.7417,7768.19,6/22/85,6/30/85,News,98,130000,Tropical cyclone,1
27,0,India,0,75.0937,14.5398,254234.6,6/23/85,6/27/85,News,95,25000,Heavy rain,1
28,0,China,0,109.974,27.7882,290679.68,6/28/85,7/10/85,News,275,60000,Heavy rain,2
29,0,Bangladesh,0,89.9853,22.6176,6446.85,7/3/85,7/4/85,News,2,77000,Heavy rain,1
30,0,West Germany,0,6.50952,50.7134,1927.64,7/6/85,7/7/85,News,3,0,Heavy rain,1
31,0,USA,0,-80.5923,38.9381,24269.06,7/9/85,7/10/85,News,2,200,Torrential rain,1
32,0,Chad,0,21.5509,11.6727,15243.93,7/13/85,7/16/85,News,0,1600,Heavy rain,1
33,0,India,0,76.9103,32.8353,117441.17,7/18/85,7/30/85,News,340,20000,Heavy rain,1
34,0,Sudan,0,24.9139,13.489,63577.12,7/19/85,7/22/85,News,0,0,Heavy rain,1
35,0,China,0,125.156,42.6953,994498.21,7/20/85,9/2/85,News,200,2000000,Tropical cyclone,2
36,0,Bangladesh,0,90.1999,23.1028,5663.46,7/21/85,8/17/85,News,15,175000,Heavy rain,1
37,0,USA,0,-85.7798,34.4872,2440.1,7/24/85,7/25/85,News,0,100,Heavy rain,1
38,0,China,0,120.376,31.5112,58279.12,8/1/85,8/2/85,News,3,200000,Heavy rain,1
39,0,USA,0,-105.091,41.6853,17922.86,8/2/85,8/3/85,News,12,0,Torrential rain,2
40,0,Nepal,0,87.1258,27.5049,12487.89,8/4/85,8/5/85,News,3,160,Heavy Rain,2
41,0,China,0,100.797,23.5255,146691.46,8/6/85,8/9/85,News,283,14000,Heavy rain,1
42,0,Austria,0,12.2066,47.3155,15151.05,8/7/85,8/8/85,News,12,0,Heavy rain,2
43,0,Ethiopia,0,39.7851,11.0514,92580.07,8/17/85,8/19/85,News,0,8000,Heavy rain,1
44,0,China,0,111.342,25.3728,38002.65,8/30/85,9/3/85,News,147,0,Tropical cyclone,1
45,0,China,0,109.825,21.6782,49643.62,8/30/85,9/8/85,News,0,200000,Heavy rain,1
46,0,USA,0,-82.3489,28.5438,73968.61,8/30/85,9/5/85,News,4,1000000,Tropical cyclone,1
47,0,Japan,0,142.796,43.4577,79043.09,9/1/85,9/2/85,News,11,1200,Tropical cyclone,1
48,0,China,0,110.542,21.0725,11098.52,9/1/85,9/4/85,News,26,70000,Heavy rain,1
49,0,Nepal,0,86.3518,27.3195,13057.51,9/6/85,9/11/85,News,30,1500,Heavy rain,1
50,0,USA,0,-83.8824,43.242,3235.32,9/6/85,9/9/85,News,0,160,Torrential rain,2
51,0,Viet Nam,0,106.251,20.8454,24681.28,9/7/85,9/15/85,News,34,0,Heavy rain,1
52,0,Sweden,0,15.9425,63.1724,51410.52,9/12/85,9/15/85,News,0,0,Heavy rain,1
53,0,India,0,82.8434,26.4816,89994.67,9/13/85,10/15/85,News,557,152000,Heavy Rain,2
54,0,Dominican Republic,0,-71.7971,18.8752,7757.79,9/14/85,9/15/85,News,12,895,Heavy rain,1
55,0,Nigeria,0,6.50345,6.41486,74615.9,9/23/85,9/25/85,News,0,6000,Heavy Rain,1
56,0,Bangladesh,0,89.6457,24.7027,6466.71,9/27/85,9/28/85,News,0,800,Heavy Rain,1
57,0,USA,0,-66.635,18.2233,7219.8,10/6/85,10/8/85,News,99,6200,Tropical cyclone,1
58,0,Mexico,,-105.8,33.1369,225143.84,10/9/85,10/12/85,News,1,460,Heavy Rain,1
59,0,Benin,0,2.17876,7.37547,29267.71,10/10/85,10/28/85,News,78,48000,Heavy Rain,1
60,0,Thailand,0,99.6423,12.9425,13914.12,10/12/85,10/17/85,News,18,7640,Heavy Rain,1
61,0,India,0,86.7154,21.1495,46758.64,10/18/85,10/20/85,News,49,150000,Tropical cyclone,2
62,0,USA,0,-98.6949,31.7526,61286.27,10/19/85,10/21/85,News,3,0,Heavy rain,1
63,0,Phillipines,0,121.138,16.1135,89516.87,10/19/85,10/20/85,News,31,0,Tropical cyclone,1
64,0,USA,0,-90.0003,29.542,9355.65,10/26/85,10/30/85,News,0,400000,Tropical cyclone,2
65,0,USA,0,-78.4543,38.837,57867.01,11/1/85,11/9/85,News,54,18000,Heavy rain,2
66,0,Jamaica,0,-77.2692,17.9531,3961.15,11/19/85,11/22/85,News,7,0,Tropical cyclone,1
67,0,Venezuela,0,-67.0248,10.1633,19687.88,12/2/85,12/5/85,News,24,15000,Heavy rain,1
68,0,Trinidad,0,-60.6243,11.2699,293.167,12/2/85,12/4/85,News,0,0,Heavy rain,1
69,0,USA,0,-82.8186,42.6864,2796.82,12/30/85,12/31/85,News,0,100,Heavy rain,1
70,0,USA,0,-116.954,44.0047,1742.13,1/1/86,1/6/86,News,0,100,Ice jam/break-up,1
71,0,Bolivia,0,-66.0628,-16.5525,62629.39,1/6/86,4/3/86,News,30,11300,Heavy rain,2
72,0,USA,0,-121.38,39.2816,88717.35,2/12/86,2/27/86,News,18,30000,Torrential rain,2
73,0,Peru,,-69.0747,-16.1155,94944.29,2/1/86,5/1/86,News,0,300000,Torrential rain,2
74,0,USA,0,-87.8814,45.0248,4321.14,3/27/86,4/5/86,News,2,496,Ice jam/break-up,1
75,0,Argentina ,0,-59.5908,-29.4731,268467.88,4/11/86,5/7/86,News,2,55000,Heavy rain,1
76,0,Brazil,0,-43.7954,-9.79844,155406.32,4/23/86,4/25/86,News,11,0,Torrential rain,1
77,0,Iran,0,49.8267,33.3427,206210.86,5/2/86,5/6/86,News,26,1000,Heavy rain,1
78,0,Thailand,0,100.638,15.0651,83450.74,5/9/86,5/12/86,News,32,0,Monsoonal rain,2
79,0,USA,0,-89.8357,37.2733,6447.33,5/15/86,5/15/86,News,3,0,Torrential rain,1
80,0,Solomon Islands,0,160.669,-9.33748,28719.44,5/19/86,5/20/86,News,0,10000,Tropical cyclone,1
81,0,USA,0,-97.2966,32.4344,5256.42,5/24/86,5/24/86,News,3,100,Torrential rain,1
82,0,Chile ,0,-71.0406,-33.0922,27913.34,5/27/86,5/29/86,News,8,17000,Torrential rain,1
83,0,USA,0,-79.7424,40.604,1700.14,5/30/86,5/31/86,News,8,10,Torrential rain,1
84,0,USA,0,-97.8369,29.6932,26949.32,5/31/86,6/11/86,News,10,3500,Torrential rain,1
85,0,Jamaica,,-76.2478,20.8066,81780.3,6/4/86,6/15/86,News,94,11860,Heavy rain,1
86,0,Chile ,0,-71.0406,-33.0922,27913.34,6/15/86,6/18/86,News,40,45000,Heavy rain,1
87,0,USA,0,-94.1582,31.1451,25821.21,6/27/86,6/30/86,News,1,1000,Tropical cyclone,1
88,0,USA,0,-94.9169,41.7178,6985.68,7/1/86,7/2/86,News,1,640,Heavy rain,2
89,0,Philippines,,120.905,15.6456,46621.61,7/9/86,7/13/86,News,103,530000,Tropical cyclone,1
90,0,Columbia ,0,-70.2357,2.12719,199436.26,7/10/86,7/30/86,News,4,28000,Heavy rain,1
91,0,Canada ,0,-113.747,53.6451,46913.5,7/18/86,7/22/86,News,0,1000,Heavy rain,2
92,0,China ,0,108.766,22.991,116842.63,7/21/86,7/31/86,News,73,50000,Tropical cyclone,1
93,0,India,,84.0726,25.6339,507167.44,6/15/86,8/20/86,News,258,3040000,Monsoonal rain,1
94,0,China ,0,128.148,45.246,599142.99,6/25/86,8/24/86,News,0,800000,Torrential rain,1
95,0,Vietnam,0,105.593,21.5735,66087.74,7/25/86,8/4/86,News,0,0,Heavy rain,1
96,0,Japan,0,140.195,35.9088,16928.71,8/5/86,8/8/86,News,17,3000,Tropical cyclone,1
97,0,USA,0,-88.2263,42.894,6562.47,8/6/86,8/6/86,News,1,250,Torrential rain,1
98,0,India,0,80.187,17.4331,107355.33,8/15/86,8/22/86,News,150,3000000,Monsoonal rain,1
99,0,Uruguay ,0,-54.7281,-33.7104,48840.56,8/4/86,8/16/86,News,0,16000,Heavy rain,1
100,0,USA,0,-81.5473,34.3153,3757.12,8/18/86,8/21/86,News,2,125,Heavy rain,1
101,0,Azores Islands ,0,-25.5053,37.8118,983.076,9/1/86,9/2/86,News,3,0,Torrential rain,1
102,0,USA,0,-102.223,31.9611,49574.37,9/2/86,9/5/86,News,3,0,Heavy rain,1
103,0,Mexico ,0,-99.8429,25.6963,14136.46,9/4/86,9/8/86,News,20,5000,Heavy rain,1
104,0,USA,0,-84.4959,43.1135,53960.13,9/9/86,9/17/86,News,6,4000,Torrential rain,2
105,0,USA,0,-107.522,48.0263,49214.9,9/25/86,10/5/86,News,1,700,Heavy rain,2
106,0,India,,89.4296,23.6547,231516.28,9/22/86,10/10/86,News,49,700000,Heavy rain,1
107,0,USA,0,-90.6864,38.8855,107660.8,9/26/86,10/13/86,News,10,55000,Heavy rain,2
108,0,Tunisia,0,10.2467,36.1903,12622.37,9/30/86,10/3/86,News,20,500,Torrential rain,1
109,0,Philippines,0,120.882,14.6553,24915.98,10/6/86,10/7/86,News,18,60000,Heavy rain,1
110,0,Alaska ,0,-149.464,61.7914,43476.34,10/9/86,10/15/86,News,0,1500,Heavy rain,1
111,0,Haiti ,0,-72.9026,18.7575,1153.3,10/23/86,10/25/86,News,40,901,Heavy rain,1
112,0,Indonesia,0,106.005,-3.70717,79414.6,10/27/86,11/3/86,News,93,31000,Heavy rain,2
113,0,USA,0,-122.012,47.6776,26882,11/23/86,11/26/86,News,0,2000,Rain and snowmelt,2
114,0,Iran,0,50.5509,29.8651,155503.4,11/30/86,12/11/86,News,200,40000,Heavy rain,1
115,0,Vietnam,0,108.708,13.9153,49609.11,12/3/86,12/5/86,News,165,0,Heavy rain,1
116,0,Brazil,0,-44.4508,-21.7074,276038.24,12/23/86,1/1/87,News,29,7000,Torrential rain,1
117,0,Argentina,,-60.2051,-24.152,224545.66,1/15/87,2/5/87,News,7,9000,Torrential rain,1
118,0,Madagascar ,0,47.4609,-19.6111,45555.43,1/1/87,1/26/87,News,2,40220,Torrential rain,1
119,0,Brazil,0,-46.6809,-23.5772,7036.99,1/26/87,1/28/87,News,69,9000,Heavy rain,2
120,0,Bolivia,0,-64.817,-16.7537,12805.09,1/20/87,1/30/87,News,20,3000,Heavy rain,1
121,0,Peru,0,-74.0575,-12.3047,29211.31,2/1/87,2/10/87,News,113,2000,Heavy rain,1
122,0,Georgia,0,41.8577,43.1418,33921.64,1/28/87,2/14/87,News,110,10000,Heavy rain,1
123,0,Indonesia ,0,111.925,-7.33531,19656.35,2/21/87,2/23/87,News,3,26000,Heavy rain,2
124,0,Ecuador  ,0,-77.4907,-0.131721,31908.09,3/5/87,3/7/87,News,300,15000,"Dam/Levy, break or release",1
125,0,Peru ,0,-76.7345,-11.8797,4672.27,3/9/87,3/11/87,News,12,1000,"Dam/Levy, break or release",1
126,0,Tajikistan ,0,61.4219,32.5541,4713.87,3/16/87,3/17/87,News,31,1000,Heavy rain,1
127,0,USA,,-69.4556,44.7173,39618.48,3/31/87,4/9/87,News,5,5000,Snowmelt,2
128,0,Ecuador ,0,-79.4853,-2.54852,15796.42,4/3/87,4/5/87,News,100,3000,Torrential rain,1
129,0,Yugoslavia,0,19.6312,44.584,23819.91,5/7/87,5/15/87,News,4,0,Heavy rain,1
130,0,Australia ,0,153.222,-28.4297,5029.69,5/9/87,5/11/87,News,3,400,Heavy rain,1
131,0,Poland ,0,20.6162,49.6687,13629.47,5/23/87,5/26/87,News,0,500,Torrential rain,1
132,0,China ,0,112.803,23.021,274128.55,5/19/87,6/9/87,News,178,470000,Heavy rain,1
133,0,USA,0,-95.2617,40.5924,36413.61,5/26/87,5/30/87,News,2,2200,Torrential rain,2
134,0,Dominican Republic ,0,-71.0321,18.5812,7875.83,5/30/87,5/31/87,News,10,200,Heavy rain,1
135,0,USA ,,-97.1003,28.9938,7258.74,6/5/87,6/8/87,News,0,536,Heavy rain,1
136,0,China ,0,103.832,31.0143,139927.17,6/24/87,7/2/87,News,40,0,Heavy rain,1
137,0,USA,0,-82.6341,40.5807,11883.86,7/2/87,7/3/87,News,0,2100,Heavy rain,2
138,0,China ,0,115.405,31.4619,268071.03,7/2/87,7/23/87,News,56,25600,Heavy rain,1
139,0,Columbia ,0,-75.5718,3.22933,19623.83,7/4/87,7/6/87,News,15,240,Heavy rain,1
140,0,Chile ,0,-71.1067,-33.8689,36283.59,7/12/87,7/18/87,News,47,90000,Heavy rain,1
141,0,Italy,0,9.9383,45.7794,4687.42,7/12/87,7/21/87,News,20,300,Heavy rain,1
142,0,USA,0,-98.7832,29.9247,999.46,7/17/87,7/17/87,News,9,0,Heavy rain,2
143,0,China ,0,84.3995,42.1547,637522.36,7/16/87,7/21/87,News,2,44000,Snowmelt,1
144,0,South Korea ,0,126.932,36.4164,9041.57,7/21/87,7/29/87,News,330,35900,Torrential rain,1
145,0,Iran ,0,51.6599,35.2053,50247.17,7/24/87,7/27/87,News,147,0,Heavy rain,1
146,0,Bangladesh ,,91.8011,24.7767,240065.2,7/23/87,9/24/87,News,880,500000,Heavy rain,2
147,0,China ,0,117.689,36.3332,16384.78,8/26/87,8/27/87,News,51,6000,Torrential rain,1
148,0,Venezuela ,0,-66.4167,10.1321,19320.17,9/6/87,9/8/87,News,112,30000,Torrential rain,1
149,0,China ,0,124.655,46.7269,100391.13,8/27/87,9/15/87,News,0,0,Heavy rain,1
150,0,USA,0,-75.9401,40.4228,12008.56,9/8/87,9/9/87,News,1,120,Heavy rain,1
151,0,South Africa ,0,30.7003,-29.0897,92666.52,9/26/87,10/2/87,News,300,60000,Heavy rain,1
152,0,Mexico,0,-99.122,19.4762,2772.64,9/28/87,9/29/87,News,15,3000,Heavy rain,1
153,0,Guatamala,,-90.7707,16.658,70305.34,10/1/87,10/8/87,News,36,3500,Torrential rain,1
154,0,Spain,,2.42823,42.306,64614.13,10/4/87,10/10/87,News,12,0,Torrential rain,1
155,0,Japan,0,133.687,34.973,49936.77,10/16/87,10/17/87,News,8,3000,Tropical cyclone,1
156,0,Lebanon,,33.9157,28.4698,12689.86,10/17/87,10/19/87,News,10,200,Torrential rain,2
157,0,Taiwan,0,121.527,25.0202,3705.48,10/24/87,10/26/87,News,49,0,Tropical cyclone,2
158,0,Jamaica ,0,-76.9826,18.0492,4628.65,10/30/87,11/1/87,News,4,1000,Tropical cyclone,1
159,0,Spain,0,-0.936047,38.6938,37572.82,11/3/87,11/6/87,News,16,3000,Torrential rain,1
160,0,Vietnam,0,108.372,13.9903,45057.5,12/5/87,12/10/87,News,86,40000,Torrential rain,1
161,0,USA,0,-90.0017,35.3657,16161,12/25/87,12/29/87,News,3,6000,Heavy rain,2
162,0,USA,0,-157.782,21.3825,385.696,1/1/88,1/2/88,News,0,2800,Heavy rain,1
163,0,Costa Rica,,-82.9868,9.60268,10877.36,1/30/88,2/5/88,News,9,7000,Heavy rain,1
164,0,Dominican Republic ,0,-70.4315,19.321,10489.39,2/1/88,2/2/88,News,4,2000,Heavy rain,1
165,0,USA,0,-90.22,30.6473,2708.65,2/1/88,2/4/88,News,3,0,Heavy rain,1
166,0,Brazil ,0,-43.2761,-22.4939,9181.28,2/1/88,2/10/88,News,290,25000,Heavy rain,2
167,0,Indonesia ,0,110.614,-7.76758,7795.17,2/5/88,2/6/88,News,7,3000,Torrential rain,1
168,0,South Africa ,0,24.3587,-28.8429,50999.8,2/10/88,3/2/88,News,24,10000,Heavy rain,1
169,0,Peru,0,-72.4803,-12.823,5174.04,2/22/88,2/22/88,News,0,0,Heavy Rain,1
170,0,South Africa,0,26.9543,-22.1508,388455.26,3/8/88,3/15/88,News,18,24000,Heavy rain,1
171,0,Argentina ,0,-59.0423,-34.6391,11057.04,3/25/88,3/28/88,News,24,57000,Heavy rain,1
172,0,West Germany,0,10.0852,49.8867,105533.51,3/26/88,3/30/88,News,6,3500,Heavy rain,2
173,0,Australia ,0,119.782,-20.5349,18139.52,3/30/88,4/1/88,News,5,0,Heavy rain,2
174,0,Turkey ,0,42.6368,37.441,1390.79,4/14/88,4/15/88,News,8,5000,Torrential rain,1
175,0,Czechoslovakia ,0,15.6402,49.345,449.006,4/20/88,4/21/88,News,2,500,Heavy Rain,1
176,0,Kenya ,0,36.3806,-0.996029,89591.05,4/10/88,5/10/88,News,60,10000,Heavy rain,1
177,0,Japan ,0,130.88,32.5616,8184.5,5/3/88,5/4/88,News,3,10000,Heavy rain,1
178,0,Rwanda,,30.4125,-0.829098,40351.4,5/6/88,5/15/88,News,52,23628,Torrential rain,1
179,0,China ,0,118.907,26.9901,40595.03,5/19/88,5/28/88,News,125,2800000,Heavy rain,1
180,0, India,,92.0622,26.4813,42285.99,5/23/88,6/11/88,News,76,43000,Monsoonal rain,1
181,0,China ,0,113.629,25.0845,6755.29,5/24/88,5/26/88,News,5,8000,Heavy rain,1
182,0,Cuba ,0,-79.1496,21.6272,34415.84,5/30/88,6/6/88,News,24,65000,Heavy rain,1
183,0,Sri Lanka ,0,80.4188,6.5639,7183.6,6/1/88,6/9/88,News,3,110000,Heavy rain,1
184,0,Philippines,0,121.197,14.6581,3302.96,6/1/88,6/6/88,News,35,5000,Tropical cyclone,1
185,0,Afghanistan ,0,69.4328,36.3288,122607.82,6/13/88,6/28/88,News,0,3000,Heavy Rain,1
186,0,China  ,0,108.938,28.7125,9275.31,6/10/88,6/11/88,News,11,500,Heavy rain,1
187,0,Turkey,0,32.9515,40.0061,229.14,6/12/88,6/12/88,News,16,400,Torrential rain,1
188,0,Bangladesh ,0,89.2694,22.9348,66355.79,6/14/88,6/20/88,News,8,15000,Heavy rain,1
189,0,China ,0,117.978,28.2371,26303.59,6/11/88,6/25/88,News,70,50000,Torrential rain,1
190,0,India ,0,92.926,26.988,70501.83,6/21/88,7/14/88,News,34,2000000,Heavy rain,1
191,0,Ukraine ,0,24.7132,51.4768,14288.09,6/20/88,7/1/88,News,0,0,Heavy rain,1
192,0,China ,0,104.148,29.5434,33856.49,6/24/88,6/28/88,News,65,500000,Torrential rain,2
193,0,Bangladesh ,0,90.7053,24.0121,98283.8,6/27/88,8/15/88,News,254,5250000,Monsoonal rain,1
194,0,Argentina ,0,-58.1136,-26.2024,16418.94,6/28/88,6/28/88,News,0,7000,Heavy rain,1
195,0,Nigeria ,0,3.45225,6.58518,1930.19,7/2/88,7/3/88,News,0,500,Heavy rain,1
196,0,India,,80.7246,28.886,847737.26,7/4/88,8/8/88,News,233,500000,Monsoonal rain,2
197,0,Canada ,0,-114.841,55.4087,1963.98,7/5/88,7/7/88,News,0,2500,Heavy rain,1
198,0,USSR ,0,39.8909,45.3603,102657.48,7/5/88,7/7/88,News,0,0,Heavy rain,1
199,0,China ,0,103.879,34.7195,30626.55,7/6/88,7/6/88,News,0,0,Heavy rain,1
200,0,South Korea ,0,127.777,37.8837,1801.07,7/8/88,7/14/88,News,6,2000,Heavy rain,1
201,0,USA ,0,-99.3069,30.0496,2444.8,7/10/88,7/11/88,News,5,0,Heavy rain,1
202,0,Japan ,0,133.882,35.3673,3681.84,7/15/88,7/15/88,News,4,0,Heavy rain,1
203,0,India ,0,71.1117,22.0189,76352.55,7/14/88,7/27/88,News,97,25000,Heavy rain,1
204,0,Brazil ,0,-35.9246,-8.84383,38455.36,7/17/88,7/18/88,News,66,50000,Torrential rain,1
205,0,Pakistan ,0,72.1319,31.8882,220520.86,7/18/88,8/5/88,News,158,163000,Monsoonal rain,1
206,0,South Korea  ,0,128.562,36.9815,3410.01,7/20/88,7/20/88,News,16,2640,Torrential rain,1
207,0,Spain ,0,-2.07723,43.107,1326.43,7/19/88,7/20/88,News,9,0,Torrential rain,1
208,0,Japan ,0,132.171,34.6244,4324.25,7/20/88,7/21/88,News,12,1633,Heavy rain,1
209,0,China ,0,123.762,47.528,9150.08,7/21/88,8/19/88,News,0,76000,Torrential rain,1
210,0,China ,0,107.648,36.2462,33131.16,7/23/88,7/23/88,News,54,12000,Heavy rain,1
211,0,New Zealand ,0,175.503,-36.63,48972.48,7/27/88,7/27/88,News,1,52,Heavy rain,1
212,0,China ,0,120.759,29.0944,18767.02,7/29/88,8/5/88,News,264,64000,Torrential rain,2
213,0,Venezuela ,0,-68.4309,10.9636,909.724,7/31/88,7/31/88,News,2,0,Heavy rain,1
214,0,India ,0,80.713,18.4311,94871.79,7/31/88,8/2/88,News,50,0,Heavy rain,1
215,0,USSR,0,91.8093,59.7121,257907.18,8/3/88,8/4/88,News,0,0,Torrential rain,1
216,0,China ,0,112.511,37.9044,36877.75,8/6/88,8/6/88,News,50,30000,Heavy rain,1
217,0,Sudan,,34.1974,15.0782,354132.25,8/5/88,9/10/88,News,91,2000000,Heavy rain,2
218,0,China,0,120.998,30.1638,12334.34,8/7/88,8/8/88,News,117,188000,Tropical cyclone,1
219,0,China ,0,124.933,50.3978,53818.07,8/10/88,8/15/88,News,10,64000,Torrential rain,1
220,0,Taiwan ,0,120.448,23.3725,11240.57,8/14/88,8/17/88,News,15,10000,Heavy rain,2
221,0,Mexico ,0,-96.0178,18.4042,10351.47,8/13/88,8/15/88,News,0,4000,Torrential rain,1
222,0,Nicaragua ,0,-83.9236,14.4458,12585.06,8/9/88,8/16/88,News,0,25000,Heavy rain,1
223,0,China ,0,110.234,35.9866,7256.16,8/13/88,8/14/88,News,163,12000,Heavy rain,1
224,0,Venezuela,,-63.565,8.82924,145562.67,8/16/88,8/23/88,News,10,12000,Heavy rain,1
225,0,Nigeria ,0,9.09773,11.8707,60618.09,8/7/88,8/20/88,News,53,0,Heavy rain,2
226,0,China ,0,114.489,34.293,153101.05,8/9/88,8/18/88,News,34,80000,Heavy rain,1
227,0,Bangladesh ,0,90.3467,23.8201,138855.34,8/20/88,10/3/88,News,0,0,Monsoonal rain,2
228,0,India,,86.5429,26.5037,626872.46,8/23/88,9/15/88,News,876,2000,Monsoonal rain,1
229,0,Uganda ,0,32.9238,2.6893,55984.41,8/11/88,8/25/88,News,5,0,Torrential rain,1
230,0,Nigeria ,0,7.08584,4.54794,1234.05,8/22/88,8/22/88,News,0,10000,Heavy rain,1
231,0,Burkina Faso,0,-4.19711,11.5463,135871.39,8/21/88,9/2/88,News,11,6000,Heavy rain,1
232,0,Mexico ,0,-104.497,21.5773,2219.14,8/22/88,8/23/88,News,18,130000,Torrential rain,1
233,0,China ,0,117.954,37.4146,16810.04,8/23/88,8/24/88,News,0,10000,Heavy rain,1
234,0,Pakistan ,0,68.0427,25.6834,33007.62,8/18/88,8/25/88,News,0,200000,Torrential rain,1
235,0,Niger ,0,7.85685,15.5663,744049.31,8/18/88,8/25/88,News,0,300000,Heavy rain,2
236,0,Chad,,20.825,12.2248,562932.23,8/20/88,9/6/88,News,51,58000,Heavy rain,1
237,0,El Savador,0,-88.8546,13.6283,17910.11,8/25/88,8/29/88,News,50,25850,Heavy rain,1
238,0,China ,0,110.803,23.5246,50318.08,8/31/88,9/6/88,News,58,300000,Heavy rain,2
239,0,Iran ,0,52.2925,35.55,1149.7,8/25/88,8/25/88,News,25,0,Heavy rain,1
240,0,Columbia ,0,-75.0642,7.46115,158846.26,8/27/88,9/3/88,News,0,100000,Heavy rain,1
241,0,Senegal ,0,-17.0028,14.7289,1307.63,9/2/88,9/2/88,News,4,2400,Heavy rain,1
242,0,Niger ,0,2.32843,13.4802,88395.78,9/2/88,9/3/88,News,13,7000,Heavy rain,2
243,0,Mexico,0,-93.4599,15.749,25819.64,9/1/88,9/5/88,News,17,20000,Tropical cyclone,1
244,0,Mexico,0,-97.5615,20.7098,12600.87,9/2/88,9/6/88,News,31,30000,Tropical cyclone,1
245,0,USSR,0,110.35,52.3035,47419.16,9/6/88,9/6/88,News,0,0,Torrential rain,1
246,0,China ,0,112.441,29.1543,47834.64,9/5/88,9/14/88,News,0,100000,Heavy rain,2
247,0,USA,0,-82.4462,27.7659,6517.48,9/6/88,9/9/88,News,7,1000,Heavy rain,2
248,0,Mexico,,-88.6221,20.9216,105084.42,9/10/88,9/18/88,News,237,821400,Tropical cyclone,2
249,0,Nigeria,,2.40705,9.50559,71964.13,9/14/88,9/26/88,News,7,136000,Torrential rain,1
250,0,Nepal ,0,82.4632,28.7764,27591.4,9/20/88,9/21/88,News,106,56,Torrential rain,1
251,0,Thailand ,0,101.507,16.0791,243171.61,9/18/88,10/5/88,News,19,16000,Torrential rain,1
252,0,China,0,118.345,25.7425,100699.46,9/20/88,9/26/88,News,9,51000,Tropical cyclone,1
253,0,India,,75.0459,30.9339,268528.55,9/21/88,10/8/88,News,731,1250000,Heavy rain,2
254,0,Taiwan ,0,121.521,24.0029,7300.07,9/21/88,10/3/88,News,0,0,Heavy rain,1
255,0,India ,0,72.8962,19.1131,605.213,10/3/88,10/4/88,News,23,0,Heavy rain,1
256,0,France ,0,4.3611,43.8055,716.771,10/3/88,10/3/88,News,10,300,Torrential rain,1
257,0,Nigeria,0,7.10119,6.37902,8884.3,9/21/88,10/5/88,News,0,70000,"Dam/Levy, break or release",1
258,0,Ghana ,0,-1.18135,9.63061,102162.19,10/1/88,10/11/88,News,0,3000,Heavy rain,1
