Date,aapl,cisco,ibm,amzn
5/24/13,58.67650882,20.52869972,182.2074428,261.74
5/28/13,58.18735118,20.84278098,184.0319972,267.29
5/29/13,58.65014624,21.043444,184.1559961,265.53
5/30/13,59.52406571,21.26155598,185.4314127,266.83
5/31/13,59.28087093,21.03908176,184.2445667,269.2
6/3/13,59.41070662,21.27028046,185.0682733,266.88
6/4/13,59.22485045,21.2528315,182.6237246,265.7
6/5/13,58.6712363,21.21793358,179.5680389,267.17
6/6/13,57.79468057,21.41859661,180.5068873,267.83
6/7/13,58.23638557,21.36624973,182.7654376,276.87
6/10/13,57.85136011,21.2528315,181.5874486,281.07
6/11/13,57.68132148,20.9998216,180.6663143,274.78
6/12/13,56.96821374,20.93002577,178.2040516,271.67
6/13/13,57.46580741,21.24410702,180.4803161,275.79
6/14/13,56.68613415,21.01727056,179.0897576,273.99
6/17/13,56.94316929,21.5494638,179.8337507,278.06
6/18/13,56.91285232,21.65415755,181.4545927,281.76
6/19/13,55.75685326,21.53201484,178.859474,278.16
6/20/13,54.94462222,21.3182651,174.7940834,273.44
6/21/13,54.50463079,21.3583977,173.120099,273.36
6/24/13,53.05996149,20.98673488,171.4195435,270.61
6/25/13,53.07182465,20.94311249,172.6949601,272.088
6/26/13,52.47075787,21.2746427,172.5886754,277.57
6/27/13,51.90528056,21.48839244,173.2883832,277.55
6/28/13,52.26776601,21.2310203,169.2672778,277.69
7/1/13,53.94047161,21.37933645,169.4178479,282.1
7/2/13,55.16237712,21.36615831,169.6127032,283.73
7/3/13,55.4668649,21.60336484,171.1626887,284.03
7/5/13,55.02133733,21.58579398,172.6506748,285.88
7/8/13,54.70894077,21.63411383,172.6949601,290.59
7/9/13,55.67117488,22.09974146,169.435562,291.53
7/10/13,55.457638,22.32376985,170.2769827,292.33
7/11/13,56.32206694,22.72789949,170.764121,299.66
7/12/13,56.21951651,22.78939747,170.1175556,307.55
7/15/13,56.3421025,22.78061205,171.8269682,306.57
7/16/13,56.70524702,22.58733265,171.6941123,306.87
7/17/13,56.7204055,22.59611808,172.3141065,308.69
7/18/13,56.91127057,22.71911406,175.3609353,304.11
7/19/13,56.0138884,22.68397235,171.4195435,305.23
7/22/13,56.19315393,22.59611808,171.9066818,303.48
7/23/13,55.22828357,22.45555125,172.6949601,301.06
7/24/13,58.064897,22.48190753,174.138661,298.94
7/25/13,57.79995309,22.40283869,174.6789416,303.4
7/26/13,58.12816719,22.39932452,174.7940834,312.01
7/29/13,59.02449485,22.25348643,173.7843785,306.1
7/30/13,59.75342014,22.55219095,173.6072373,302.41
7/31/13,59.64928796,22.48190753,172.7481025,301.22
8/1/13,60.19578421,22.74634888,173.4300961,305.57
8/2/13,60.96873501,23.00903315,172.8543872,304.21
8/5/13,61.87956209,23.11445827,173.1555273,300.99
8/6/13,61.32594794,23.026604,169.1609931,300.75
8/7/13,61.29035846,22.94753516,167.8501482,296.91
8/8/13,61.1690906,23.07053114,167.2893421,295.74
8/9/13,60.2986773,22.8886728,167.1914236,297.26
8/12/13,62.01164006,23.14081455,168.3219374,296.69
8/13/13,64.95857289,23.12368297,167.7255246,293.97
8/14/13,66.14344952,23.17332063,166.9332748,291.34
8/15/13,66.0651654,21.51111785,165.3843818,286.47
8/16/13,66.6516329,21.32223118,164.983806,284.82
8/19/13,67.3694585,21.32223118,163.9957191,285.57
8/20/13,66.48444986,21.36615831,164.2894747,287.09
8/21/13,66.65561345,21.14652264,164.5565252,284.57
8/22/13,66.73522442,21.09381008,164.8502808,289.73
8/23/13,66.47781561,20.96202867,165.0550195,290.01
8/26/13,66.73655127,20.93567239,164.449705,286.21
8/27/13,64.82854163,20.63257516,162.6693683,280.93
8/28/13,65.13451314,20.59743345,162.1530706,281.58
8/29/13,65.24119184,20.60182617,162.5803514,283.98
8/30/13,64.6462325,20.47883019,162.2509891,280.98
9/3/13,64.82721478,20.62818245,163.7553737,288.8
9/4/13,66.16879235,20.88295983,163.0165339,293.64
9/5/13,65.71487712,20.81267641,163.9245057,294.1
9/6/13,66.10629774,20.68968044,162.9275171,295.86
9/9/13,67.16114312,21.01474123,164.6633454,299.71
9/10/13,65.6312856,21.22119877,166.1054182,300.36
9/11/13,62.05807979,21.41447816,169.7551085,299.64
9/12/13,62.71885086,21.33980203,169.7818136,298.86
9/13/13,61.68523507,21.36615831,171.063656,297.92
9/16/13,59.72415145,21.41887087,171.936021,296.06
9/17/13,60.41411321,21.41008545,171.0547543,304.17
9/18/13,61.65604438,21.78346609,173.0665349,312.034
9/19/13,62.66710373,21.62532841,172.1496614,312.06
9/20/13,62.01827431,21.53308142,169.149794,316.34
9/23/13,65.10054579,21.32662389,170.0132573,311.49
9/24/13,64.89621096,21.20802063,169.1052856,314.13
9/25/13,63.89178586,21.46279801,168.6602014,312.65
9/26/13,64.51407829,20.88295983,169.3278277,318.12
9/27/13,64.0536615,20.49640104,166.3902721,316.01
9/30/13,63.25755178,20.58513386,164.8413791,312.64
10/1/13,64.74495011,20.56668446,165.9095811,320.95
10/2/13,64.95724604,20.637482,164.6455421,320.51
10/3/13,64.14123357,20.35871669,163.6663569,314.76
10/4/13,64.09081329,20.37199123,163.8799973,319.04
10/7/13,64.71708627,20.25694524,162.0195454,310.03
10/8/13,63.81350173,20.03127809,159.0908914,303.23
10/9/13,64.56290635,19.91180724,161.4053292,298.23
10/10/13,64.96759546,20.36314154,164.4764101,305.174
10/11/13,65.38873751,20.60208323,165.7137441,310.889
10/14/13,65.81704454,20.65518138,166.4347805,310.7
10/15/13,66.16733282,20.51358631,164.3784915,306.4
10/16/13,66.49028799,20.349867,166.2211401,310.49
10/17/13,66.93955925,20.16048359,155.6281365,310.77
10/18/13,67.5220462,20.31977805,154.6934597,328.931
10/21/13,69.17689294,20.292344,153.8745048,326.44
10/22/13,68.97859528,20.04455262,155.75276,332.54
10/23/13,69.65429341,19.69498979,156.4648947,326.756
10/24/13,70.57645383,19.80074361,158.2719365,332.21
10/25/13,69.78671299,19.87198363,157.4262766,363.39
10/28/13,70.30657264,19.9560557,157.8713607,358.16
10/29/13,68.55539662,20.19942224,162.1174639,362.7
10/30/13,69.64580157,20.09322593,160.3638322,361.08
10/31/13,69.35469078,19.9649054,159.5270739,364.03
11/1/13,69.00015658,19.96933024,159.5448773,359.002
11/4/13,69.89179947,19.98260478,160.4706524,358.74
11/5/13,69.71917635,20.41181485,158.3164449,358.892
11/6/13,69.5229353,20.60208323,160.3549305,356.18
11/7/13,68.39811902,20.45163846,161.0797896,343.56
11/8/13,69.47488904,20.80562615,161.0708407,350.31
11/11/13,69.27309476,20.74810315,163.6570662,354.378
11/12/13,69.40148504,21.00031937,163.8270949,349.53
11/13/13,69.48476522,21.23483621,164.256641,356.22
11/14/13,70.48919893,18.90736719,163.0574914,367.396
11/15/13,70.0662584,19.05781195,163.9344814,369.17
11/18/13,69.21717425,18.8409945,165.0799377,366.18
11/19/13,69.3400926,18.9560405,165.7779501,364.94
11/20/13,68.73284128,18.78789635,165.7242568,362.57
11/21/13,69.55176306,19.00028896,164.7756758,368.92
11/22/13,69.37345805,18.99143926,162.2431436,372.31
11/25/13,69.89929765,18.82329511,160.1312086,376.64
11/26/13,71.18853891,18.77019696,158.6725416,381.37
11/27/13,72.86481947,18.82329511,160.1580552,386.71
11/29/13,74.21411855,18.80559573,160.7934255,393.62
12/2/13,73.5681633,18.66400066,158.8246725,392.3
12/3/13,75.5823692,18.81444542,157.5718297,384.66
12/4/13,75.40593267,18.80471076,157.2675679,385.96
12/5/13,75.79310543,18.5047062,157.5718297,384.49
12/6/13,74.74129276,18.83214481,158.9947012,386.95
12/9/13,75.59678308,18.77904665,158.8067748,384.89
12/10/13,75.47933667,18.77019696,158.5025129,387.78
12/11/13,74.92013161,18.47815712,156.7843285,382.19
12/12/13,74.81069292,18.15071851,155.146684,381.25
12/13/13,73.99524115,17.91177683,154.636598,384.24
12/16/13,74.40496896,18.30116328,159.155781,388.97
12/17/13,74.06997977,18.51355589,157.2854656,387.65
12/18/13,73.50677086,18.58435343,159.9164355,395.96
12/19/13,72.66462673,18.64630127,161.2766649,395.19
12/20/13,73.27321266,18.69939942,161.0976873,402.2
12/23/13,76.08525337,19.08878588,163.0753892,402.92
12/24/13,75.76227575,19.19498218,163.961328,399.2
12/26/13,75.25912466,19.2923288,165.8674389,404.39
12/27/13,74.75063509,19.48702202,165.6258192,398.08
12/30/13,74.00725271,19.69056494,166.8160198,393.37
12/31/13,74.87475459,19.8498594,167.8540896,398.79
1/2/14,73.82174077,19.6197674,166.0285187,397.97
1/3/14,72.20017957,19.60193125,167.021844,396.44
